Degrees,Counts
681,1
793,1
812,1
817,1
829,2
841,1
856,1
861,1
870,1
872,1
884,1
885,1
891,1
893,1
896,1
901,3
902,1
908,1
910,1
912,2
914,1
915,2
916,1
917,1
918,3
919,1
921,1
922,1
923,2
925,1
926,2
927,1
928,1
932,1
933,4
934,4
937,2
938,2
939,4
942,2
944,1
945,6
946,2
948,2
949,4
950,3
951,2
952,3
953,2
954,7
955,2
956,4
957,4
958,2
959,3
960,2
961,4
962,4
963,5
964,5
965,3
966,5
967,7
968,6
969,6
970,2
971,19
972,14
973,7
974,12
975,10
976,13
977,17
978,10
979,14
980,21
981,25
982,28
983,27
984,23
985,35
986,24
987,36
988,34
989,55
990,54
991,28
992,56
993,57
994,46
995,53
996,59
997,31
998,23
999,12
