,Index,Sim,Slope,Std-Err,Max-Val,Stationary-Val,Confidence-Int
0,RI-5%,AGAINST-LOW-EDUCATED, 89.86, 0.05,53,53,"[ 52,  53]"
1,RI-5%,AGAINST-OLD, 89.95, 0.02,51,51,"[ 51,  51]"
2,RI-5%,AGAINST-OPPOSITE-GENDER, 89.54, 0.18,60,60,"[ 57,  61]"
3,RI-5%,AGAINST-WOMEN, 89.91, 0.04,52,52,"[ 51,  52]"
4,RI-5%,AGAINST-YOUNG, 89.95, 0.02,51,51,"[ 51,  51]"
5,RI-5%,AVAILABILITY-BIAS, 89.95, 0.02,51,51,"[ 51,  51]"
6,RI-5%,CONFIRMATION-AVAILABILITY-BIAS, 90.00, 0.00,50,50,"[ nan,  nan]"
7,RI-5%,CONFIRMATION-BIAS, 89.91, 0.02,51,51,"[ 50,  51]"
8,RI-5%,NO-BIAS, 89.95, 0.02,51,51,"[ 51,  51]"
9,RI-20%,AGAINST-LOW-EDUCATED, 89.72, 0.11,206,206,"[ 204,  206]"
10,RI-20%,AGAINST-OLD, 89.81, 0.07,204,204,"[ 203,  204]"
11,RI-20%,AGAINST-OPPOSITE-GENDER, 89.03, 0.37,221,221,"[ 214,  222]"
12,RI-20%,AGAINST-WOMEN, 89.77, 0.09,205,205,"[ 203,  205]"
13,RI-20%,AGAINST-YOUNG, 89.95, 0.02,201,201,"[ 201,  201]"
14,RI-20%,AVAILABILITY-BIAS, 89.86, 0.05,203,203,"[ 202,  203]"
15,RI-20%,CONFIRMATION-AVAILABILITY-BIAS, 89.91, 0.04,202,202,"[ 201,  202]"
16,RI-20%,CONFIRMATION-BIAS, 89.81, 0.04,203,203,"[ 202,  203]"
17,RI-20%,NO-BIAS, 89.91, 0.04,202,202,"[ 201,  202]"
18,RI-40%,AGAINST-LOW-EDUCATED, 39.02, 6.73,1000,1000,"[ 658,  938]"
19,RI-40%,AGAINST-OLD, 44.00, 7.81,1000,1000,"[ 702,  970]"
20,RI-40%,AGAINST-OPPOSITE-GENDER, 48.59, 8.29,1000,1000,"[ 734,  987]"
21,RI-40%,AGAINST-WOMEN, 44.93, 5.97,951,951,"[ 652,  899]"
22,RI-40%,AGAINST-YOUNG, 46.35, 8.41,1000,1000,"[ 719,  982]"
23,RI-40%,AVAILABILITY-BIAS, 38.00, 7.24,1000,1000,"[ 650,  938]"
24,RI-40%,CONFIRMATION-AVAILABILITY-BIAS, 36.38, 6.95,1000,1000,"[ 631,  925]"
25,RI-40%,CONFIRMATION-BIAS, 39.01, 3.80,987,987,"[ 599,  861]"
26,RI-40%,NO-BIAS, 37.86, 7.45,1000,1000,"[ 649,  940]"
27,SII-5%,AGAINST-LOW-EDUCATED, 89.86, 0.05,28,28,"[ 27,  28]"
28,SII-5%,AGAINST-OLD, 89.95, 0.02,26,26,"[ 26,  26]"
29,SII-5%,AGAINST-OPPOSITE-GENDER, 89.58, 0.16,34,34,"[ 31,  35]"
30,SII-5%,AGAINST-WOMEN, 89.95, 0.02,26,26,"[ 26,  26]"
31,SII-5%,AGAINST-YOUNG, 90.00, 0.00,25,25,"[ nan,  nan]"
32,SII-5%,AVAILABILITY-BIAS, 90.00, 0.00,25,25,"[ nan,  nan]"
33,SII-5%,CONFIRMATION-AVAILABILITY-BIAS, 90.00, 0.00,25,25,"[ nan,  nan]"
34,SII-5%,CONFIRMATION-BIAS, 90.00, 0.00,25,25,"[ nan,  nan]"
35,SII-5%,NO-BIAS, 90.00, 0.00,25,25,"[ nan,  nan]"
36,SII-20%,AGAINST-LOW-EDUCATED, 89.81, 0.07,104,104,"[ 103,  104]"
37,SII-20%,AGAINST-OLD, 89.91, 0.04,102,102,"[ 101,  102]"
38,SII-20%,AGAINST-OPPOSITE-GENDER, 89.35, 0.25,114,114,"[ 109,  115]"
39,SII-20%,AGAINST-WOMEN, 89.91, 0.04,102,102,"[ 101,  102]"
40,SII-20%,AGAINST-YOUNG, 89.91, 0.04,102,102,"[ 101,  102]"
41,SII-20%,AVAILABILITY-BIAS, 89.91, 0.04,102,102,"[ 101,  102]"
42,SII-20%,CONFIRMATION-AVAILABILITY-BIAS, 89.95, 0.02,101,101,"[ 101,  101]"
43,SII-20%,CONFIRMATION-BIAS, 89.95, 0.02,101,101,"[ 101,  101]"
44,SII-20%,NO-BIAS, 89.95, 0.02,101,101,"[ 101,  101]"
45,SII-40%,AGAINST-LOW-EDUCATED, 89.56, 0.15,209,209,"[ 206,  209]"
46,SII-40%,AGAINST-OLD, 89.59, 0.13,208,208,"[ 205,  208]"
47,SII-40%,AGAINST-OPPOSITE-GENDER, 88.55, 0.51,230,230,"[ 220,  232]"
48,SII-40%,AGAINST-WOMEN, 89.59, 0.13,208,208,"[ 205,  208]"
49,SII-40%,AGAINST-YOUNG, 89.72, 0.11,206,206,"[ 204,  206]"
50,SII-40%,AVAILABILITY-BIAS, 89.67, 0.12,207,207,"[ 205,  207]"
51,SII-40%,CONFIRMATION-AVAILABILITY-BIAS, 89.80, 0.07,204,204,"[ 203,  204]"
52,SII-40%,CONFIRMATION-BIAS, 89.60, 0.10,207,207,"[ 204,  207]"
53,SII-40%,NO-BIAS, 89.81, 0.07,204,204,"[ 203,  204]"
54,WSI,AGAINST-LOW-EDUCATED, 89.95, 0.02,285,285,"[ 285,  285]"
55,WSI,AGAINST-OLD, 90.00, 0.00,284,284,"[ nan,  nan]"
56,WSI,AGAINST-OPPOSITE-GENDER, 89.58, 0.16,293,293,"[ 290,  294]"
57,WSI,AGAINST-WOMEN, 89.95, 0.02,285,285,"[ 285,  285]"
58,WSI,AGAINST-YOUNG, 90.00, 0.00,284,284,"[ nan,  nan]"
59,WSI,AVAILABILITY-BIAS, 90.00, 0.00,284,284,"[ nan,  nan]"
60,WSI,CONFIRMATION-AVAILABILITY-BIAS, 90.00, 0.00,284,284,"[ nan,  nan]"
61,WSI,CONFIRMATION-BIAS, 90.00, 0.00,284,284,"[ nan,  nan]"
62,WSI,NO-BIAS, 90.00, 0.00,284,284,"[ nan,  nan]"
