,Index,Sim,Slope,Std-Err,Max-Val,Stationary-Val,Confidence-Int
0,RI-5%,AGAINST-LOW-EDUCATED, 15.00, 14.61,890,890,"[ 383,  837]"
1,RI-5%,AGAINST-OLD, 17.86, 14.05,858,858,"[ 370,  807]"
2,RI-5%,AGAINST-OPPOSITE-GENDER, 38.57, 10.02,626,626,"[ 278,  590]"
3,RI-5%,AGAINST-WOMEN, 18.21, 13.98,854,854,"[ 369,  803]"
4,RI-5%,AGAINST-YOUNG, 17.14, 14.19,866,866,"[ 374,  814]"
5,RI-5%,AVAILABILITY-BIAS, 89.91, 0.02,51,51,"[ 50,  51]"
6,RI-5%,CONFIRMATION-AVAILABILITY-BIAS, 13.16, 9.85,894,894,"[ 342,  762]"
7,RI-5%,CONFIRMATION-BIAS, 13.80, 9.59,885,885,"[ 338,  752]"
8,RI-5%,NO-BIAS, 13.04, 14.99,912,912,"[ 392,  858]"
9,RI-20%,AGAINST-LOW-EDUCATED, 19.91, 13.65,985,985,"[ 511,  935]"
10,RI-20%,AGAINST-OLD, 19.64, 13.71,988,988,"[ 512,  938]"
11,RI-20%,AGAINST-OPPOSITE-GENDER, 24.20, 12.82,937,937,"[ 492,  890]"
12,RI-20%,AGAINST-WOMEN, 19.91, 13.65,985,985,"[ 511,  935]"
13,RI-20%,AGAINST-YOUNG, 19.73, 13.69,987,987,"[ 512,  937]"
14,RI-20%,AVAILABILITY-BIAS, 89.82, 0.03,202,202,"[ 201,  202]"
15,RI-20%,CONFIRMATION-AVAILABILITY-BIAS, 18.98, 9.07,979,979,"[ 469,  856]"
16,RI-20%,CONFIRMATION-BIAS, 19.07, 8.91,978,978,"[ 468,  853]"
17,RI-20%,NO-BIAS, 19.46, 13.74,990,990,"[ 513,  940]"
18,RI-40%,AGAINST-LOW-EDUCATED, 36.86, 10.32,995,995,"[ 636,  957]"
19,RI-40%,AGAINST-OLD, 36.60, 10.39,998,998,"[ 637,  960]"
20,RI-40%,AGAINST-OPPOSITE-GENDER, 38.04, 10.12,982,982,"[ 631,  945]"
21,RI-40%,AGAINST-WOMEN, 36.70, 10.38,997,997,"[ 637,  959]"
22,RI-40%,AGAINST-YOUNG, 36.70, 10.38,997,997,"[ 637,  959]"
