,Index,Sim,Slope,Std-Err,Max-Val,Stationary-Val,Confidence-Int
0,RI-5%,AGAINST-LOW-EDUCATED, 44.24, 16.20,998,998,"[ 681,  1049]"
1,RI-5%,AGAINST-OLD, 44.04, 16.21,1000,1000,"[ 682,  1051]"
2,RI-5%,AGAINST-OPPOSITE-GENDER, 40.64, 15.47,993,993,"[ 662,  1031]"
3,RI-5%,AGAINST-WOMEN, 43.92, 16.15,999,999,"[ 681,  1049]"
4,RI-5%,AGAINST-YOUNG, 44.16, 16.24,1000,1000,"[ 683,  1051]"
5,RI-5%,AVAILABILITY-BIAS, 44.43, 16.31,1000,1000,"[ 684,  1052]"
6,RI-5%,CONFIRMATION-AVAILABILITY-BIAS, 44.32, 16.28,1000,1000,"[ 683,  1052]"
7,RI-5%,CONFIRMATION-BIAS, 32.15, 12.16,994,994,"[ 609,  968]"
8,RI-5%,NO-BIAS, 77.71, 4.62,1000,1000,"[ 844,  1024]"
9,RI-20%,AGAINST-LOW-EDUCATED, 52.71, 14.01,999,999,"[ 736,  1047]"
10,RI-20%,AGAINST-OLD, 52.66, 14.03,1000,1000,"[ 737,  1048]"
11,RI-20%,AGAINST-OPPOSITE-GENDER, 52.14, 13.69,994,994,"[ 730,  1038]"
12,RI-20%,AGAINST-WOMEN, 52.61, 14.02,1000,1000,"[ 737,  1048]"
13,RI-20%,AGAINST-YOUNG, 52.64, 14.03,1000,1000,"[ 737,  1048]"
14,RI-20%,AVAILABILITY-BIAS, 52.73, 14.05,1000,1000,"[ 737,  1049]"
15,RI-20%,CONFIRMATION-AVAILABILITY-BIAS, 52.71, 14.05,1000,1000,"[ 737,  1049]"
16,RI-20%,CONFIRMATION-BIAS, 41.80, 10.26,995,995,"[ 673,  974]"
17,RI-20%,NO-BIAS, 79.98, 3.92,1000,1000,"[ 871,  1022]"
18,RI-40%,AGAINST-LOW-EDUCATED, 62.17, 10.55,999,999,"[ 802,  1036]"
19,RI-40%,AGAINST-OLD, 62.11, 10.56,1000,1000,"[ 803,  1037]"
20,RI-40%,AGAINST-OPPOSITE-GENDER, 62.04, 10.41,996,996,"[ 800,  1031]"
21,RI-40%,AGAINST-WOMEN, 62.15, 10.54,999,999,"[ 802,  1036]"
22,RI-40%,AGAINST-YOUNG, 62.11, 10.56,1000,1000,"[ 803,  1037]"
23,RI-40%,AVAILABILITY-BIAS, 62.11, 10.56,1000,1000,"[ 803,  1037]"
24,RI-40%,CONFIRMATION-AVAILABILITY-BIAS, 62.11, 10.56,1000,1000,"[ 803,  1037]"
25,RI-40%,CONFIRMATION-BIAS, 54.19, 7.81,996,996,"[ 757,  983]"
26,RI-40%,NO-BIAS, 82.52, 2.95,1000,1000,"[ 903,  1017]"
27,SII-5%,AGAINST-LOW-EDUCATED, 40.56, 16.14,998,998,"[ 663,  1041]"
28,SII-5%,AGAINST-OLD, 39.55, 16.06,1000,1000,"[ 661,  1041]"
29,SII-5%,AGAINST-OPPOSITE-GENDER, 35.84, 15.87,993,993,"[ 634,  1025]"
30,SII-5%,AGAINST-WOMEN, 39.64, 16.04,999,999,"[ 660,  1040]"
31,SII-5%,AGAINST-YOUNG, 39.70, 16.07,1000,1000,"[ 661,  1041]"
32,SII-5%,AVAILABILITY-BIAS, 40.57, 16.19,1000,1000,"[ 665,  1044]"
33,SII-5%,CONFIRMATION-AVAILABILITY-BIAS, 40.84, 16.23,1000,1000,"[ 666,  1045]"
34,SII-5%,CONFIRMATION-BIAS, 28.03, 11.73,993,993,"[ 579,  951]"
