,Index,ID,Country,Gender,Education,Region,Profession,Work_status,Household_members,Income_level,Location_of_residence,Centre_or_suburbs,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Considering_electric_or_hybrid_vehicle_next_purchase,Know_what_car_sharing_is,Would_subscribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Transfers_between_modes_during_frequent_trip,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation,New_frq_trip_dur,Age,Would_subsribe_car_sharing_if_available_new,Education_DNA,Income_level_DNA,Profession_DNA,Age_DNA,Considering_electric_or_hybrid_vehicle_next_purchase_DNA,Concern_environmental_impacts_DNA,Country_DNA,sha_ind,sha_ind_norm
2,2,3,Czech Republic,Male,"Tertiary and higher (University degree, PhD or similar degrees).",JihovÃ½chod,other employed worker,Employed,four,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Certainly not,Yes,"No, I would not be interested in this service",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,less than 3 KM,6,No preferences,15-30 min,41-50,0,0.2290959252971137,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.1095890410958904,0.1392904073587385,0.2184782608695652,0.1831785787676036,0.3253783685170479
7,9,10,Belgium,Female,Lower secondary (upper elementary school or similar);,Prov. Vlaams-Brabant,student,Not Employed,four,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Difficult to reach with public transport,No,2,Maybe yes maybe not,Yes,"No, I would not be interested in this service",No,No,No,No,Yes,Yes,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,Two,11-20 KM,8,Probably more acceptable to limit road traffic,30-60 min,less than 20,0,0.178237650200267,0.2103583345422892,0.2434696895022178,0.2561094819159335,0.2027115108851518,0.2356572258533043,0.132752992383025,0.2084709836117412,0.4870511477854069
8,10,11,Poland,Male,Upper secondary (high school or similar);,Mazowieckie,other employed worker,Employed,one  (myself),high,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,1,Maybe yes maybe not,No,Yes without any influence on my car ownership,No,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,5,Definitely more acceptable to pay for less congestion,30-60 min,31-40,2,0.2069787234042553,0.3636363636363636,0.1921047488762947,0.2217081850533807,0.2027115108851518,0.1648418491484184,0.3314855875831485,0.2404952812267162,0.6917551777673612
11,15,16,Finland,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Helsinki-Uusimaa,office worker,Employed,two,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,1,Probably yes,Yes,"Yes, instead of purchasing a new car",No,No,No,No,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,8,Probably more acceptable to pay for less congestion,30-60 min,21-30,2,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.2870708546384222,0.2356572258533043,0.1876355748373102,0.2262031615159434,0.6003978422543528
13,18,19,Czech Republic,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Praha,other employed worker,Employed,one  (myself),higher middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,1,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,Yes,No,No,No,Yes,Yes,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,9,Definitely more acceptable to pay for less congestion,30-60 min,31-40,1,0.2290959252971137,0.2489236790606653,0.1921047488762947,0.2217081850533807,0.2027115108851518,0.299515106303618,0.2184782608695652,0.2303624880493985,0.6269848704429424
16,21,22,Belgium,Female,Upper secondary (high school or similar);,RÃ©gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,other employed worker,Employed,one  (myself),lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably not,Yes,"No, I would not be interested in this service",Yes,No,Yes,No,No,Yes,Yes,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,1,Definitely more acceptable to limit road traffic,30-60 min,21-30,0,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.2346829640947288,0.1444071809035312,0.1148775894538606,0.132752992383025,0.1746125716882798,0.2706231888383661
20,26,27,Czech Republic,Female,Upper secondary (high school or similar);,StrednÃ­ Morava,other employed worker,Employed,three,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,Yes,No,Â…It is outside an urban area,Make this trip once per week or less,Two,11-20 KM,10,Probably more acceptable to pay for less congestion,15-30 min,31-40,1,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.2217081850533807,0.2027115108851518,0.3167848699763593,0.2184782608695652,0.2221785859667528,0.574672162216302
22,28,29,Poland,Female,"Tertiary and higher (University degree, PhD or similar degrees).",LÃ³dzkie,other employed worker,Employed,four,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Probably not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,21-30 KM,7,No preferences,15-30 min,21-30,1,0.2290959252971137,0.1964838027022627,0.1921047488762947,0.2346829640947288,0.1444071809035312,0.1982758620689655,0.3314855875831485,0.2180765816465779,0.5484515460629429
23,30,31,Germany,Male,Lower secondary (upper elementary school or similar);,Oberbayern,office worker,Employed,one  (myself),lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,1,Probably not,Yes,"No, I would not be interested in this service",Yes,Yes,No,No,No,Yes,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,4,Probably more acceptable to limit road traffic,30-60 min,21-30,0,0.178237650200267,0.1964838027022627,0.1989212513484358,0.2346829640947288,0.1444071809035312,0.1632140615191462,0.1866383881230116,0.1860836141273404,0.3439477826702608
30,42,43,Belgium,Female,Upper secondary (high school or similar);,Prov. Antwerpen,unemployed,Not Employed,one  (myself),lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Certainly not,Yes,"No, I would not be interested in this service",Yes,No,Yes,No,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,less than 3 KM,5,No preferences,30-60 min,51-60,0,0.2069787234042553,0.1964838027022627,0.2050105857445307,0.1924233313289236,0.1095890410958904,0.1648418491484184,0.132752992383025,0.172582903686758,0.2576492518473909
